Date;Time of day;Biomass[MWh];Hydropower[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other renewable[MWh];Nuclear[MWh];Fossil brown coal[MWh];Fossil hard coal[MWh];Fossil gas[MWh];Hydro pumped storage[MWh];Other conventional[MWh]
Jan 1, 2019;12:00 AM;1,231.5;401;794.75;4,751;0;27.5;2,250.5;1,733;836;851;29.5;341
Jan 1, 2019;12:15 AM;1,234.25;394.75;794;4,937.25;0;27.5;2,263.25;1,588;730;822;80;339
Jan 1, 2019;12:30 AM;1,231.5;381.25;792.25;5,118.5;0;27.5;2,246;1,555;649;805;29;341
Jan 1, 2019;12:45 AM;1,233.5;381;755.5;5,188.75;0;27.5;2,241.75;1,459;598;797;29.25;341
Jan 1, 2019;1:00 AM;1,229;388.25;715.5;5,297.5;0;27.5;2,224.5;1,368;611;766;29;339
Jan 1, 2019;1:15 AM;1,227.75;388;716.75;5,476;0;27.5;2,171.75;1,352;602;740;29.25;331
Jan 1, 2019;1:30 AM;1,226.75;389;717.75;5,616.75;0;27.5;2,112.25;1,322;596;734;28.75;327
Jan 1, 2019;1:45 AM;1,220.5;388.5;718;5,646.25;0;27.5;2,026.75;1,338;596;728;29;324
Jan 1, 2019;2:00 AM;1,216;383.75;642.5;5,669.5;0;27.5;2,011.75;1,339;601;698;50.75;318
Jan 1, 2019;2:15 AM;1,217;376.75;597;5,716;0;27.5;2,012.75;1,333;570;675;36.5;315
Jan 1, 2019;2:30 AM;1,216;376.5;597.25;5,643.75;0;27.5;1,987.75;1,340;528;676;0.25;316
Jan 1, 2019;2:45 AM;1,217.5;374;622.75;5,719;0;27.5;1,941.75;1,331;530;672;0.25;315
Jan 1, 2019;3:00 AM;1,215.75;379.75;672.5;5,890.25;0;27.5;1,892.25;1,325;567;664;0.25;313
Jan 1, 2019;3:15 AM;1,214.75;377.75;676.75;5,897.25;0;27.5;1,811;1,316;603;661;0.25;314
Jan 1, 2019;3:30 AM;1,218.5;370.75;675.5;6,004.25;0;27.5;1,766;1,315;599;665;0.25;313
Jan 1, 2019;3:45 AM;1,216.75;366.5;673;6,078.5;0;27.5;1,752.5;1,315;588;663;0.25;314
Jan 1, 2019;4:00 AM;1,217;381.25;642.75;6,339.75;0;27.5;1,771.25;1,297;573;671;0.25;315
Jan 1, 2019;4:15 AM;1,214.5;370.5;654;6,451.25;0;27.5;1,788.5;1,300;578;672;0.25;314
Jan 1, 2019;4:30 AM;1,216.5;358.25;642.25;6,549;0;27.5;1,778.25;1,292;580;682;0.25;315
Jan 1, 2019;4:45 AM;1,219.25;348.25;639.25;6,581.5;0;27.5;1,782;1,290;577;682;0.25;317
Jan 1, 2019;5:00 AM;1,215.5;346;607.5;6,775.25;0;27.5;1,781;1,271;580;679;1.25;317
Jan 1, 2019;5:15 AM;1,215;344.25;604.75;6,809.5;0;27.5;1,771;1,264;584;676;1.25;317
Jan 1, 2019;5:30 AM;1,216.5;347;605;6,899.5;0;27.5;1,759.75;1,269;579;683;0.25;317
Jan 1, 2019;5:45 AM;1,212.75;347.75;561.5;6,944.75;0;27.5;1,749;1,273;569;683;0.25;317
Jan 1, 2019;6:00 AM;1,216.25;353.25;479.75;7,177.75;0;27.5;1,758.5;1,268;539;683;0;316
Jan 1, 2019;6:15 AM;1,217.5;346.5;484.75;7,229;0;27.5;1,757;1,266;541;676;0;316
Jan 1, 2019;6:30 AM;1,217.5;353.5;485;7,315.5;0;27.5;1,757.5;1,272;540;678;0;316
Jan 1, 2019;6:45 AM;1,217;363;480.75;7,364;0;27.5;1,762.25;1,267;539;678;0;315
Jan 1, 2019;7:00 AM;1,220.75;360.75;480.75;7,387.5;0;27.5;1,780.25;1,258;540;704;0;315
Jan 1, 2019;7:15 AM;1,218.5;359.5;509;7,460.5;0;27.5;1,790;1,259;543;703;0;316
Jan 1, 2019;7:30 AM;1,219.5;355.5;516.75;7,536.5;0;27.5;1,796.5;1,259;542;708;0;316
Jan 1, 2019;7:45 AM;1,222.75;356.25;538;7,520.75;0;27.5;1,806.25;1,263;558;706;0;316
Jan 1, 2019;8:00 AM;1,225.75;351.5;551.75;7,596;1.75;27.5;1,790.25;1,237;572;712;0;315
Jan 1, 2019;8:15 AM;1,225;353.5;552.75;7,598;9;27.5;1,796;1,225;569;714;0;315
Jan 1, 2019;8:30 AM;1,225;363;570.5;7,598.25;24.75;27.5;1,792.5;1,226;562;715;0;311
Jan 1, 2019;8:45 AM;1,225.25;378;533;7,647.25;48.75;27.5;1,776.75;1,231;565;717;0;312
Jan 1, 2019;9:00 AM;1,224;362.25;526.5;7,598.5;78.25;27.5;1,742.75;1,233;602;717;0;315
Jan 1, 2019;9:15 AM;1,223;368;506.25;7,589.25;116.25;27.5;1,744.5;1,229;670;715;0;316
Jan 1, 2019;9:30 AM;1,225.75;375.5;518.25;7,463;168.75;27.5;1,762.5;1,233;685;717;0;316
Jan 1, 2019;9:45 AM;1,228.25;377.5;524;7,549;219.5;27.5;1,740.25;1,233;686;716;0;315
